Age,Credit_Score,Account_Balence,Credit_Card_Holter,Dependents,Employment_Type,Applicant_Income,Coapplicant_Income,Loan_Status,Education_Status,Fidelity_Scores
59,455,261222,0,2,Employed,109369,108166,1,Non-Graduated,62
94,439,39845,0,0,Self_Employed,159304,97871,0,Non-Graduated,59
92,423,26217,0,1,Employed,39503,57823,1,Graduated,78
96,472,9351,1,1,Employed,179341,162255,1,Graduated,46
56,464,691015,0,1,Self_Employed,166289,40359,0,Non-Graduated,60
77,361,944066,0,2,Employed,28457,128141,0,Graduated,92
45,476,515019,0,1,Employed,132305,108692,1,Graduated,100
89,489,790161,0,2,Employed,131972,183153,1,Graduated,30
62,377,524463,1,2,Employed,127279,176642,1,Non-Graduated,94
75,439,896114,0,2,Employed,51534,169216,1,Graduated,60
99,343,214643,0,1,Self_Employed,31253,136637,1,Graduated,21
28,499,862254,1,2,Employed,54081,141674,1,Non-Graduated,46
64,305,812506,0,2,Self_Employed,196428,136109,0,Non-Graduated,44
67,486,897383,1,0,Employed,137713,148504,0,Graduated,53
37,374,975531,1,1,Self_Employed,191556,143127,0,Graduated,99
58,463,329868,0,2,Employed,160123,65624,1,Non-Graduated,24
83,401,179219,0,1,Employed,161257,151807,1,Graduated,33
49,348,676578,0,0,Employed,132598,18676,0,Graduated,52
30,454,210598,1,1,Employed,53006,162341,1,Non-Graduated,76
53,392,127281,0,0,Employed,61539,24023,1,Graduated,89
24,393,129659,0,0,Self_Employed,114845,45663,1,Non-Graduated,100
33,303,234800,0,0,Employed,78752,13707,1,Graduated,22
87,409,455375,1,2,Employed,112069,170437,0,Graduated,98
89,404,343350,0,0,Self_Employed,109436,44204,0,Non-Graduated,73
57,379,811505,1,1,Employed,22731,75791,0,Non-Graduated,61
59,353,91849,0,2,Employed,27462,136658,1,Non-Graduated,89
48,411,326045,0,2,Self_Employed,49734,93471,1,Non-Graduated,99
70,430,495920,1,0,Employed,149055,30798,0,Graduated,40
20,312,155451,0,0,Employed,38752,121095,0,Graduated,49
100,357,672153,0,0,Employed,69814,50698,0,Graduated,43
74,478,532333,1,0,Self_Employed,129343,57922,1,Non-Graduated,26
27,433,417460,1,2,Employed,155548,102225,0,Non-Graduated,33
31,481,72456,1,2,Self_Employed,91594,19640,0,Non-Graduated,57
87,466,127583,0,1,Self_Employed,65097,16606,1,Graduated,70
94,387,944049,1,2,Self_Employed,126184,102975,0,Graduated,60
42,354,692275,1,0,Employed,120580,192999,0,Non-Graduated,46
28,367,647272,1,0,Self_Employed,28793,29426,0,Graduated,45
20,459,942075,1,0,Employed,111499,77482,1,Graduated,61
59,484,580663,0,2,Self_Employed,48345,142352,0,Non-Graduated,28
27,476,13686,1,1,Employed,180285,100922,0,Non-Graduated,32
42,364,655021,1,0,Employed,83668,34035,0,Non-Graduated,69
85,364,273183,1,0,Self_Employed,152239,173037,1,Graduated,100
84,341,361137,0,0,Employed,144395,173443,0,Graduated,68
69,321,744427,0,1,Employed,69907,144204,0,Graduated,34
37,467,655991,0,2,Self_Employed,95950,132697,0,Non-Graduated,83
71,351,640618,0,0,Employed,170171,87362,0,Non-Graduated,31
19,304,480504,0,2,Employed,118953,64510,0,Graduated,92
84,417,546879,0,1,Employed,112546,177659,1,Non-Graduated,96
66,365,226980,1,0,Employed,39598,52638,0,Non-Graduated,84
74,310,518994,1,2,Self_Employed,143621,86315,0,Graduated,79
45,447,201317,0,2,Employed,12461,178935,1,Graduated,35
75,356,957857,1,1,Employed,53526,167496,1,Graduated,27
48,379,370071,1,0,Employed,169977,196315,0,Non-Graduated,79
66,324,565623,1,2,Self_Employed,119251,103406,1,Non-Graduated,75
27,398,546944,1,1,Employed,21582,17640,1,Non-Graduated,99
40,498,337283,0,1,Self_Employed,48578,20809,0,Non-Graduated,68
91,411,616182,1,0,Employed,147109,19402,0,Graduated,62
73,402,114528,0,2,Self_Employed,74290,38092,1,Graduated,36
86,327,248342,0,1,Self_Employed,162750,173578,1,Non-Graduated,89
48,473,30333,1,0,Employed,119195,136160,1,Graduated,32
36,413,667521,1,2,Employed,181094,18161,0,Non-Graduated,68
78,429,511448,0,0,Employed,94919,155968,0,Non-Graduated,95
56,352,335157,0,2,Self_Employed,112543,88571,0,Non-Graduated,48
71,349,688425,1,2,Self_Employed,69821,73591,1,Graduated,26
30,480,419071,1,0,Self_Employed,172812,129191,1,Graduated,41
18,320,128052,1,0,Self_Employed,28325,115089,0,Non-Graduated,82
56,499,765916,1,2,Employed,152383,144202,0,Graduated,32
83,415,825234,0,1,Self_Employed,88795,86236,1,Non-Graduated,79
45,310,692010,0,2,Employed,140852,153358,1,Graduated,72
76,333,626457,1,2,Employed,114093,40086,1,Non-Graduated,77
21,462,294336,1,2,Employed,109290,161246,1,Graduated,41
61,348,74173,0,1,Employed,128658,197189,0,Graduated,58
58,413,793808,1,2,Self_Employed,84028,35525,1,Graduated,25
43,368,496337,0,1,Self_Employed,91469,101736,0,Graduated,29
39,487,533396,0,0,Self_Employed,79681,47094,0,Non-Graduated,82
79,390,981126,0,2,Employed,83375,46897,0,Graduated,77
45,447,296986,0,1,Self_Employed,150489,55557,1,Non-Graduated,86
26,399,808819,1,2,Employed,88136,109907,1,Non-Graduated,56
36,384,207294,0,0,Employed,170054,49505,1,Non-Graduated,66
66,399,229605,1,0,Employed,114048,57852,0,Non-Graduated,71
38,332,344254,0,2,Self_Employed,30670,108511,0,Graduated,37
96,459,551046,1,1,Employed,34668,40508,0,Graduated,72
65,300,312839,1,1,Employed,35931,63544,1,Non-Graduated,60
55,470,100659,1,0,Self_Employed,31129,137609,1,Non-Graduated,97
49,455,633552,0,0,Self_Employed,23705,124251,1,Graduated,72
69,350,888088,0,2,Self_Employed,78980,145020,1,Non-Graduated,40
53,399,158692,0,0,Self_Employed,162912,83025,0,Non-Graduated,56
76,375,146975,1,2,Employed,177669,51713,1,Graduated,23
76,490,539989,0,1,Self_Employed,132819,84745,0,Graduated,70
97,387,293800,1,2,Employed,191063,144192,1,Non-Graduated,57
44,406,721045,0,2,Employed,42007,21498,0,Non-Graduated,25
98,438,908125,0,2,Employed,137576,69498,0,Graduated,29
59,410,786787,1,1,Employed,188832,88855,0,Non-Graduated,82
53,484,795224,1,0,Employed,96239,188842,1,Non-Graduated,84
77,304,882922,0,1,Self_Employed,91915,153258,0,Non-Graduated,57
21,347,142715,0,0,Self_Employed,190962,81025,0,Graduated,23
34,428,723883,1,2,Employed,90380,152550,1,Graduated,70
66,423,907538,0,0,Self_Employed,136680,106009,0,Graduated,75
61,317,297959,1,0,Employed,140449,38811,1,Non-Graduated,52
61,411,969746,1,1,Self_Employed,19504,151216,0,Non-Graduated,29
54,412,258093,0,1,Self_Employed,45318,149836,0,Graduated,98
26,457,732719,1,1,Employed,137370,141526,1,Non-Graduated,38
96,330,98800,1,1,Employed,176909,64585,0,Non-Graduated,67
46,324,667124,0,2,Self_Employed,80323,151045,1,Non-Graduated,53
64,471,510831,1,0,Self_Employed,131491,172593,0,Non-Graduated,30
62,382,871302,0,2,Employed,93332,75521,0,Non-Graduated,69
82,421,567483,0,1,Self_Employed,129386,23743,1,Non-Graduated,94
92,354,470291,0,0,Self_Employed,121798,103187,0,Graduated,36
80,348,875484,0,1,Self_Employed,29374,104377,1,Graduated,28
18,341,993411,1,2,Employed,174709,128777,0,Non-Graduated,40
83,343,390355,0,2,Self_Employed,26967,80920,1,Graduated,95
83,388,112166,0,2,Employed,92725,163418,1,Non-Graduated,69
38,429,531076,0,0,Employed,16000,145417,0,Non-Graduated,50
20,344,203670,1,0,Self_Employed,135302,21962,0,Graduated,68
76,355,555470,0,2,Self_Employed,117036,24831,1,Non-Graduated,88
88,435,13971,0,2,Employed,71611,109889,0,Graduated,70
71,337,123171,0,1,Self_Employed,119176,179551,1,Non-Graduated,87
61,308,243694,0,1,Employed,145445,91109,1,Graduated,70
47,421,973479,0,2,Employed,51712,90448,0,Graduated,78
48,461,972953,1,2,Self_Employed,65519,56034,1,Non-Graduated,75
43,325,393574,1,2,Self_Employed,181109,14521,0,Non-Graduated,50
55,385,115950,1,0,Employed,71226,125418,0,Graduated,54
55,373,289128,1,0,Employed,68954,53890,0,Non-Graduated,61
45,357,971672,1,0,Employed,152423,31894,0,Graduated,100
44,497,410101,0,0,Self_Employed,164622,49814,1,Graduated,94
75,410,558555,1,0,Self_Employed,65376,81517,1,Graduated,76
62,442,389792,1,1,Employed,49255,13494,1,Graduated,73
87,369,759005,0,2,Employed,91436,27014,1,Non-Graduated,64
36,337,897213,0,1,Employed,74343,163351,0,Non-Graduated,92
19,419,101111,1,2,Employed,104427,192187,0,Non-Graduated,78
66,487,868049,0,0,Employed,76573,188356,0,Graduated,55
82,489,178428,0,2,Self_Employed,44780,16854,1,Non-Graduated,65
22,327,627929,0,0,Self_Employed,111873,111311,0,Non-Graduated,46
35,356,988449,0,2,Self_Employed,113483,179976,1,Graduated,95
26,419,2331,1,2,Self_Employed,92943,112262,1,Graduated,58
85,310,721336,0,0,Self_Employed,100854,86523,0,Non-Graduated,43
53,490,608234,0,2,Employed,181261,181688,0,Non-Graduated,92
60,340,948338,1,2,Employed,61402,198354,1,Graduated,81
92,333,424470,0,2,Employed,50558,138557,0,Graduated,78
81,337,521191,1,0,Self_Employed,93876,149990,0,Non-Graduated,37
89,323,148041,1,0,Self_Employed,185436,168799,0,Non-Graduated,38
84,343,302272,1,1,Employed,17774,153571,0,Graduated,46
26,418,178361,0,0,Self_Employed,56618,68373,0,Non-Graduated,71
52,321,984608,0,2,Self_Employed,11524,16435,1,Graduated,81
39,429,951206,1,2,Employed,104644,196613,0,Non-Graduated,35
54,382,67348,1,2,Employed,120759,192797,1,Non-Graduated,27
73,301,895791,0,0,Self_Employed,62940,14317,0,Graduated,86
50,461,212144,1,0,Employed,19262,29260,0,Graduated,22
93,468,220356,1,2,Employed,72767,147447,0,Non-Graduated,48
94,430,777626,0,1,Employed,51970,111288,1,Non-Graduated,53
62,392,395368,1,2,Self_Employed,61854,189580,0,Graduated,99
41,458,325045,1,2,Self_Employed,176681,57315,0,Non-Graduated,32
30,416,875464,1,0,Self_Employed,141625,191576,0,Non-Graduated,54
55,352,840723,0,0,Employed,51141,32210,1,Non-Graduated,48
77,431,653206,1,0,Employed,40334,156342,0,Graduated,71
94,490,364454,0,1,Employed,16558,98740,0,Non-Graduated,80
97,459,902009,0,2,Self_Employed,26487,31456,1,Graduated,39
43,360,202461,1,1,Self_Employed,112949,96002,1,Non-Graduated,54
36,427,86504,1,0,Self_Employed,124657,160258,0,Non-Graduated,53
88,492,712806,0,0,Self_Employed,105538,183948,1,Graduated,30
35,428,771073,1,1,Employed,91270,176544,0,Non-Graduated,74
96,307,402912,1,2,Self_Employed,174220,118215,0,Non-Graduated,95
36,339,808049,0,0,Self_Employed,140323,73405,1,Non-Graduated,27
25,318,913863,1,0,Employed,158054,79285,1,Non-Graduated,52
30,391,622374,0,0,Employed,190233,144419,0,Graduated,85
88,317,543817,1,2,Employed,91178,36071,0,Graduated,49
51,497,675616,0,2,Employed,115198,98514,1,Graduated,65
80,500,163725,0,1,Employed,31041,157150,0,Graduated,59
39,324,809742,1,2,Self_Employed,21262,31426,0,Graduated,67
40,446,753745,1,0,Self_Employed,194145,20821,1,Non-Graduated,92
51,417,770514,0,0,Self_Employed,152350,189000,1,Graduated,55
92,394,494843,0,2,Self_Employed,179608,13749,1,Non-Graduated,74
79,350,782276,1,2,Employed,66216,87314,0,Non-Graduated,86
72,373,237654,1,1,Self_Employed,31872,145292,1,Non-Graduated,33
22,388,639735,1,2,Employed,71580,121620,1,Graduated,53
67,459,585860,1,2,Employed,120266,127327,1,Graduated,64
88,375,56640,0,2,Self_Employed,62196,119285,0,Graduated,27
79,352,63969,1,1,Employed,80976,169106,0,Non-Graduated,73
44,349,233382,1,1,Self_Employed,55334,144326,1,Non-Graduated,23
23,493,81997,1,1,Self_Employed,68437,141889,1,Non-Graduated,89
79,492,957146,0,0,Employed,199479,38647,1,Non-Graduated,97
91,431,163297,1,0,Self_Employed,24834,195391,0,Graduated,75
46,374,251374,1,2,Employed,134148,150659,1,Non-Graduated,25
55,384,299743,0,0,Employed,144778,134561,0,Graduated,71
22,421,37332,0,0,Self_Employed,15078,29801,1,Non-Graduated,68
35,340,940694,1,0,Employed,153516,80306,0,Graduated,21
40,466,90051,0,1,Employed,165440,108645,0,Graduated,43
95,393,282218,0,0,Employed,79289,101079,1,Graduated,27
93,435,604890,1,0,Employed,63915,130758,1,Non-Graduated,98
59,350,423317,1,2,Self_Employed,185561,78940,1,Non-Graduated,87
39,469,373166,0,2,Employed,139712,25232,0,Non-Graduated,26
65,379,579392,1,1,Employed,121294,44988,1,Graduated,74
59,414,885387,0,0,Employed,95673,55386,1,Non-Graduated,97
94,402,740847,1,1,Employed,133881,88282,0,Non-Graduated,50
29,317,61202,0,1,Employed,150585,55584,1,Graduated,37
96,451,584430,0,2,Self_Employed,195019,196070,1,Graduated,80
39,380,91190,1,2,Employed,147861,99968,1,Non-Graduated,50
25,323,839515,0,0,Self_Employed,133705,64633,1,Graduated,88
18,440,665492,0,1,Self_Employed,20786,83578,0,Graduated,29
22,499,967878,1,2,Employed,45122,175963,1,Non-Graduated,63
34,439,530848,1,1,Employed,28562,156071,1,Non-Graduated,40
72,327,916698,0,2,Self_Employed,61753,187051,1,Graduated,67
65,458,927810,1,2,Employed,133627,188487,0,Non-Graduated,28
31,449,502127,0,0,Employed,37885,180482,1,Non-Graduated,30
56,359,249832,1,2,Self_Employed,33840,141651,0,Non-Graduated,75
25,342,107254,1,1,Self_Employed,144955,79643,1,Non-Graduated,89
56,314,282571,1,0,Employed,155190,56141,1,Graduated,54
26,373,753884,0,1,Self_Employed,187057,51724,0,Graduated,55
86,471,677302,1,0,Employed,92737,15728,0,Graduated,86
98,486,181269,1,2,Self_Employed,198913,163542,0,Graduated,80
47,320,26161,0,1,Employed,148735,87355,1,Non-Graduated,51
56,310,302917,0,1,Employed,116916,148379,0,Graduated,85
79,441,366339,1,0,Self_Employed,73890,127488,1,Graduated,81
36,384,642914,0,2,Employed,121001,37250,0,Non-Graduated,77
29,366,459282,0,0,Employed,112964,19591,1,Graduated,49
36,498,978561,0,2,Employed,175672,178451,1,Graduated,74
77,428,651869,0,1,Employed,42661,165792,0,Non-Graduated,94
79,394,194016,0,1,Self_Employed,150070,139851,1,Graduated,67
35,310,877184,1,0,Employed,92752,47918,1,Graduated,86
21,469,497050,1,2,Self_Employed,34549,120020,0,Non-Graduated,81
64,371,73031,1,1,Employed,28025,133604,1,Graduated,47
55,473,323628,0,0,Self_Employed,49178,28224,1,Graduated,24
85,456,331306,1,2,Employed,55048,79454,0,Non-Graduated,94
80,400,279783,1,0,Employed,135286,44441,1,Non-Graduated,56
35,427,176777,0,1,Employed,29040,197715,0,Non-Graduated,84
22,453,415215,0,1,Employed,151647,102536,1,Graduated,43
50,482,136841,0,1,Self_Employed,198276,146256,1,Graduated,32
20,427,344518,1,1,Self_Employed,134289,34758,1,Non-Graduated,33
96,417,16449,0,1,Employed,178837,192245,1,Non-Graduated,66
93,450,950494,0,2,Employed,16119,90524,1,Graduated,64
25,364,723309,1,1,Self_Employed,95976,66432,1,Non-Graduated,93
18,393,183997,0,1,Employed,85378,14959,0,Non-Graduated,100
23,310,692924,1,2,Self_Employed,48846,187911,0,Graduated,40
67,493,578977,0,2,Employed,178299,11213,1,Non-Graduated,66
99,386,617588,0,2,Employed,74428,82920,1,Non-Graduated,57
21,451,361362,1,1,Self_Employed,46195,73213,0,Non-Graduated,22
90,475,984921,1,2,Self_Employed,182960,40305,0,Non-Graduated,99
43,365,425107,0,0,Employed,162002,45027,1,Non-Graduated,50
62,403,661917,0,0,Self_Employed,193138,96915,0,Non-Graduated,55
96,495,851043,0,1,Employed,133534,165215,1,Graduated,51
95,425,680657,1,0,Self_Employed,183747,116701,0,Graduated,50
70,415,137086,0,2,Employed,44321,17883,0,Graduated,90
65,450,255843,0,0,Employed,50970,23231,1,Non-Graduated,28
19,388,38773,0,1,Employed,165248,21807,1,Graduated,73
95,382,786995,0,0,Self_Employed,90158,198154,1,Non-Graduated,77
92,467,766552,0,1,Employed,186005,118680,0,Non-Graduated,64
27,369,731480,1,0,Employed,21950,102515,1,Non-Graduated,26
58,322,567035,0,2,Self_Employed,190938,77136,1,Graduated,67
96,436,255312,0,1,Employed,58116,86615,0,Graduated,25
39,338,70367,1,0,Employed,13333,32326,0,Graduated,91
76,397,36155,0,1,Employed,84801,109954,1,Graduated,87
100,335,109355,0,2,Employed,47851,93265,0,Non-Graduated,40
67,311,407226,1,0,Employed,180630,108530,1,Non-Graduated,21
42,430,338138,0,2,Employed,143645,130679,1,Non-Graduated,25
63,499,697617,0,1,Self_Employed,184757,147722,1,Graduated,68
40,402,778959,0,2,Self_Employed,140589,166636,1,Non-Graduated,25
21,456,984177,1,2,Employed,189333,60651,1,Non-Graduated,32
59,308,483516,1,0,Self_Employed,38335,186292,0,Graduated,44
48,366,85345,1,1,Self_Employed,180581,142748,0,Non-Graduated,44
46,375,341990,1,1,Employed,179864,143660,0,Non-Graduated,36
63,496,735242,1,2,Employed,108923,155253,0,Graduated,57
22,398,166950,1,1,Self_Employed,59458,53668,0,Non-Graduated,43
21,448,61888,1,1,Self_Employed,148204,95933,0,Graduated,98
73,495,10361,1,0,Employed,180177,110046,0,Non-Graduated,74
93,374,549455,0,1,Employed,127982,92291,1,Non-Graduated,51
73,499,538877,1,1,Employed,49907,49566,0,Graduated,34
85,359,537270,0,2,Self_Employed,84380,192100,0,Graduated,48
21,452,720978,1,2,Employed,110014,90857,0,Non-Graduated,58
68,399,527731,1,0,Employed,68898,146056,0,Non-Graduated,63
19,416,923440,0,0,Employed,27315,132860,0,Non-Graduated,78
67,328,231600,1,2,Employed,187607,136967,0,Graduated,43
36,422,989511,0,2,Self_Employed,71727,25205,1,Graduated,20
72,341,893183,1,2,Self_Employed,166908,45869,1,Non-Graduated,82
96,314,572039,1,2,Employed,61917,93201,1,Non-Graduated,20
77,402,468054,1,0,Self_Employed,146000,58892,1,Graduated,33
39,343,129788,0,2,Self_Employed,115382,111256,0,Non-Graduated,73
98,436,22722,0,1,Self_Employed,23822,12027,1,Graduated,83
89,341,201772,0,2,Self_Employed,123110,188469,1,Non-Graduated,36
95,427,777801,1,0,Self_Employed,199077,181709,1,Graduated,51
18,371,646668,0,1,Employed,73322,122755,1,Graduated,21
76,432,283976,0,1,Employed,132729,123266,1,Non-Graduated,40
76,313,541898,1,0,Self_Employed,35583,173120,0,Non-Graduated,51
77,412,740287,1,0,Employed,124190,129309,1,Non-Graduated,27
20,333,344605,0,1,Employed,193533,160044,0,Non-Graduated,50
31,461,558228,1,2,Employed,87657,46543,1,Graduated,40
58,311,164134,1,1,Employed,153972,83092,0,Graduated,98
24,334,96957,0,2,Self_Employed,111595,80984,0,Non-Graduated,57
31,356,729238,0,2,Employed,126091,61009,0,Non-Graduated,23
41,329,804517,1,0,Self_Employed,174911,27690,0,Non-Graduated,27
86,382,942244,0,1,Self_Employed,25262,57034,0,Non-Graduated,55
33,380,662472,1,2,Employed,175842,192326,0,Non-Graduated,57
65,382,144638,0,1,Self_Employed,124654,193585,0,Graduated,64
77,382,601163,0,1,Employed,77247,129853,1,Non-Graduated,53
40,305,217539,1,1,Employed,112587,48305,0,Non-Graduated,50
68,450,445491,1,2,Employed,115586,153262,1,Non-Graduated,65
61,397,230771,0,1,Self_Employed,170907,163035,0,Graduated,25
90,382,858785,0,1,Employed,63955,112508,0,Graduated,42
78,403,429806,0,0,Self_Employed,157510,53235,0,Graduated,57
86,433,376600,0,0,Employed,95053,86541,1,Graduated,58
66,414,186779,0,2,Self_Employed,53472,173362,0,Graduated,89
31,380,111002,0,1,Employed,106093,90198,1,Graduated,71
93,329,811599,0,0,Self_Employed,182982,180025,1,Non-Graduated,23
93,394,481376,0,2,Employed,35204,126983,0,Non-Graduated,99
48,308,103134,1,2,Employed,112585,55382,1,Graduated,35
27,498,448919,1,1,Self_Employed,182384,118964,1,Non-Graduated,98
88,377,434100,0,2,Self_Employed,157384,76315,1,Graduated,86
30,344,588451,0,0,Self_Employed,156086,166034,1,Graduated,26
74,479,999310,0,1,Self_Employed,165875,67272,0,Non-Graduated,45
39,470,33411,1,0,Self_Employed,162153,150031,0,Non-Graduated,82
73,389,348127,1,0,Employed,20242,40471,0,Graduated,58
52,410,145841,1,0,Employed,143345,128695,1,Graduated,83
51,487,660015,1,0,Employed,171693,21121,1,Non-Graduated,64
99,489,217761,1,2,Self_Employed,15471,177356,1,Non-Graduated,96
26,476,809843,1,0,Self_Employed,52948,82343,0,Non-Graduated,89
32,425,105014,0,2,Self_Employed,53925,142094,1,Non-Graduated,69
46,312,498732,1,1,Employed,95417,134850,0,Graduated,51
55,468,629475,0,1,Self_Employed,196342,35340,0,Non-Graduated,85
34,453,315419,0,0,Employed,15014,125541,1,Graduated,23
97,356,911812,0,0,Self_Employed,26735,65004,0,Graduated,67
59,373,650842,1,1,Self_Employed,21070,102572,0,Non-Graduated,34
72,348,857581,0,1,Employed,118665,122296,1,Non-Graduated,35
77,334,831093,1,2,Self_Employed,182004,169897,0,Non-Graduated,98
45,301,784358,0,1,Employed,148870,30392,0,Graduated,62
95,332,65739,1,0,Self_Employed,199689,138053,0,Non-Graduated,50
72,336,531506,1,2,Employed,187265,35102,0,Graduated,70
32,451,787685,0,0,Self_Employed,50259,68615,0,Graduated,88
77,417,295778,0,2,Self_Employed,188070,120529,0,Non-Graduated,47
97,384,273565,1,2,Self_Employed,79083,70904,0,Graduated,69
74,390,101853,1,1,Employed,197040,69219,0,Non-Graduated,69
23,437,810466,1,2,Self_Employed,26753,181926,1,Graduated,77
73,418,727351,1,0,Self_Employed,101438,122654,1,Non-Graduated,48
84,439,25094,0,2,Self_Employed,153908,165995,1,Non-Graduated,73
94,483,635691,1,1,Self_Employed,161738,88823,1,Non-Graduated,47
78,392,61758,1,0,Employed,10272,60760,1,Non-Graduated,67
55,400,875160,1,1,Employed,196440,107851,0,Non-Graduated,35
69,377,5558,1,1,Self_Employed,136044,11306,1,Non-Graduated,59
82,324,631858,1,1,Self_Employed,118539,139959,1,Non-Graduated,68
92,326,242987,0,1,Self_Employed,29317,46994,0,Graduated,75
77,302,110991,0,2,Self_Employed,17658,39166,0,Graduated,78
45,402,665213,1,1,Employed,128358,45807,0,Graduated,49
82,438,938351,1,1,Employed,183818,139830,1,Graduated,61
28,443,804341,1,1,Self_Employed,152323,43394,1,Graduated,31
81,408,33410,0,1,Employed,90710,151434,0,Graduated,37
18,494,865482,1,2,Self_Employed,62951,142684,0,Non-Graduated,60
25,409,958077,1,0,Employed,138546,36857,1,Non-Graduated,40
37,378,26428,1,1,Self_Employed,11469,84191,1,Non-Graduated,67
99,484,90549,1,0,Self_Employed,147709,100710,1,Graduated,58
39,317,231037,0,1,Self_Employed,159859,181104,0,Graduated,56
78,321,450960,0,1,Employed,181511,52300,1,Graduated,26
27,419,58757,0,2,Self_Employed,133781,22685,1,Graduated,43
59,481,705208,0,2,Self_Employed,47157,77962,0,Graduated,57
86,489,907097,1,2,Self_Employed,165156,139127,1,Non-Graduated,82
36,339,928418,1,2,Self_Employed,99984,115013,0,Non-Graduated,72
20,492,178706,1,0,Self_Employed,198358,193367,0,Graduated,41
50,377,789241,1,0,Self_Employed,118026,171075,0,Non-Graduated,34
74,394,893091,1,0,Employed,23419,33713,1,Graduated,69
76,448,139108,1,1,Self_Employed,195170,18362,0,Graduated,37
39,444,102318,0,2,Self_Employed,67332,36529,1,Graduated,57
51,352,885701,1,2,Self_Employed,10008,35501,0,Non-Graduated,31
77,314,645725,1,2,Employed,55321,188516,0,Non-Graduated,31
35,474,138578,1,1,Self_Employed,177652,97799,1,Graduated,91
87,353,113271,0,2,Self_Employed,132593,142726,0,Non-Graduated,60
40,431,258375,0,0,Employed,127863,121654,0,Non-Graduated,22
51,458,918080,1,0,Employed,107810,179296,1,Non-Graduated,82
47,378,136107,0,0,Self_Employed,196576,14089,1,Graduated,41
74,393,295491,0,0,Self_Employed,99365,64739,0,Non-Graduated,37
50,361,13154,1,0,Employed,180592,124922,0,Graduated,60
66,411,324710,0,2,Employed,128195,106501,0,Graduated,40
85,454,117544,1,1,Self_Employed,165683,194991,0,Graduated,79
84,358,848364,0,0,Employed,63622,14665,1,Graduated,69
57,367,233634,0,2,Self_Employed,131682,166500,1,Graduated,34
68,306,313757,1,1,Employed,139109,64151,0,Graduated,45
91,333,197676,0,0,Employed,193568,145912,1,Non-Graduated,43
69,479,4651,1,2,Self_Employed,189178,114765,1,Graduated,32
52,311,336006,0,0,Employed,195459,196568,0,Graduated,81
76,339,764700,1,0,Self_Employed,184045,44065,1,Non-Graduated,87
56,355,424720,1,0,Employed,19695,27813,1,Graduated,30
42,456,187548,1,2,Self_Employed,18490,150570,0,Non-Graduated,63
54,467,155448,1,0,Employed,183619,58774,1,Graduated,74
39,496,681004,1,1,Self_Employed,17534,104947,1,Graduated,60
85,433,570722,0,0,Employed,199022,52960,1,Graduated,57
37,373,58988,1,1,Employed,109510,50880,1,Non-Graduated,34
45,321,559536,0,0,Employed,114683,70883,0,Non-Graduated,80
56,369,572565,0,2,Employed,157724,95494,1,Non-Graduated,35
20,459,969052,1,0,Employed,118987,135941,1,Graduated,81
29,441,973370,0,2,Self_Employed,97136,196446,1,Graduated,33
81,330,945188,1,2,Self_Employed,97823,178232,0,Non-Graduated,41
81,369,225699,1,1,Self_Employed,169588,39540,0,Non-Graduated,26
20,310,125874,0,2,Self_Employed,153116,159159,1,Non-Graduated,39
46,493,298150,0,1,Employed,118522,154698,0,Graduated,46
39,411,667765,0,2,Employed,127285,119716,1,Non-Graduated,68
75,347,829972,0,2,Employed,186350,196538,1,Non-Graduated,54
91,441,938787,1,1,Self_Employed,32626,75153,0,Non-Graduated,31
53,329,109778,1,0,Employed,45766,118708,0,Non-Graduated,58
93,328,853779,0,2,Self_Employed,154768,51419,1,Non-Graduated,59
25,408,752687,1,2,Employed,68084,160941,0,Non-Graduated,35
70,429,449142,0,0,Employed,172631,97185,1,Non-Graduated,76
54,441,992773,0,2,Self_Employed,111316,84613,0,Graduated,68
74,459,202683,1,2,Employed,41356,89949,0,Non-Graduated,50
96,399,150277,0,0,Self_Employed,31692,95184,0,Non-Graduated,98
81,442,832487,1,2,Employed,70856,199462,0,Graduated,79
73,440,199938,0,2,Self_Employed,11479,67407,0,Graduated,68
43,426,424188,1,1,Employed,66241,166113,1,Graduated,64
37,383,683142,0,0,Self_Employed,56461,168709,1,Non-Graduated,87
85,456,665527,1,0,Employed,132248,17377,1,Graduated,36
86,317,386708,0,1,Self_Employed,71705,12495,1,Non-Graduated,52
28,447,525015,0,0,Employed,26967,145495,0,Graduated,55
96,465,340727,1,2,Employed,62843,12383,1,Non-Graduated,30
33,377,33679,1,2,Self_Employed,197118,136582,0,Non-Graduated,62
100,485,70492,0,1,Self_Employed,113609,180063,1,Graduated,54
25,353,595996,0,1,Employed,10391,75506,0,Graduated,66
65,330,81568,0,1,Employed,187288,106176,0,Graduated,51
91,472,37883,0,0,Employed,191970,148036,1,Non-Graduated,58
68,426,908037,1,2,Self_Employed,154638,154139,0,Non-Graduated,88
22,316,127137,0,0,Employed,34141,61513,0,Non-Graduated,43
42,454,893356,0,0,Employed,94477,69272,0,Graduated,78
21,488,806104,1,1,Employed,138848,188155,1,Non-Graduated,30
91,328,633816,0,0,Self_Employed,10488,81105,0,Graduated,38
45,496,569182,0,2,Employed,197326,126503,1,Non-Graduated,25
21,342,775849,0,2,Employed,14376,147089,0,Non-Graduated,22
43,375,289741,0,0,Employed,136233,182521,0,Non-Graduated,75
50,374,747804,1,0,Employed,53476,36566,0,Graduated,31
